# Converted file from inputfile Messung_2.CHN
# MCA number or Detector number: 1
# Segment number (set to 1 in UMCBI): 1
# ASCII seconds of start time: 12593
# Real Time (s): 180.000
# Live Time (s) : 177.060
# Start Date (DDMMMYY): 11JAN00
# Start time (HHMM): 0016
# Channel offset of data: 0
# Number of channels (length of data): 1024

# Data: 

0 	 0
1 	 0
2 	 0
3 	 0
4 	 0
5 	 0
6 	 0
7 	 0
8 	 0
9 	 1
10 	 5
11 	 9
12 	 14
13 	 15
14 	 12
15 	 18
16 	 16
17 	 15
18 	 16
19 	 20
20 	 10
21 	 11
22 	 16
23 	 12
24 	 18
25 	 16
26 	 18
27 	 22
28 	 20
29 	 21
30 	 24
31 	 18
32 	 20
33 	 18
34 	 21
35 	 19
36 	 26
37 	 18
38 	 32
39 	 28
40 	 23
41 	 32
42 	 21
43 	 29
44 	 32
45 	 33
46 	 36
47 	 31
48 	 30
49 	 34
50 	 41
51 	 33
52 	 32
53 	 26
54 	 34
55 	 40
56 	 42
57 	 38
58 	 45
59 	 40
60 	 41
61 	 41
62 	 54
63 	 42
64 	 41
65 	 36
66 	 40
67 	 44
68 	 42
69 	 25
70 	 49
71 	 37
72 	 44
73 	 45
74 	 35
75 	 41
76 	 46
77 	 45
78 	 35
79 	 47
80 	 35
81 	 37
82 	 41
83 	 33
84 	 34
85 	 43
86 	 27
87 	 42
88 	 27
89 	 37
90 	 36
91 	 40
92 	 37
93 	 29
94 	 35
95 	 35
96 	 36
97 	 32
98 	 36
99 	 38
100 	 33
101 	 24
102 	 31
103 	 28
104 	 29
105 	 36
106 	 45
107 	 25
108 	 32
109 	 36
110 	 28
111 	 24
112 	 27
113 	 26
114 	 20
115 	 30
116 	 23
117 	 30
118 	 25
119 	 29
120 	 23
121 	 20
122 	 24
123 	 18
124 	 28
125 	 17
126 	 18
127 	 25
128 	 11
129 	 26
130 	 21
131 	 28
132 	 23
133 	 24
134 	 22
135 	 26
136 	 32
137 	 24
138 	 23
139 	 27
140 	 26
141 	 22
142 	 26
143 	 21
144 	 27
145 	 19
146 	 23
147 	 25
148 	 25
149 	 19
150 	 20
151 	 14
152 	 16
153 	 22
154 	 17
155 	 24
156 	 29
157 	 27
158 	 19
159 	 22
160 	 33
161 	 24
162 	 21
163 	 24
164 	 17
165 	 19
166 	 19
167 	 17
168 	 19
169 	 15
170 	 15
171 	 23
172 	 22
173 	 15
174 	 18
175 	 19
176 	 19
177 	 28
178 	 18
179 	 29
180 	 13
181 	 24
182 	 23
183 	 19
184 	 17
185 	 19
186 	 21
187 	 18
188 	 17
189 	 20
190 	 22
191 	 13
192 	 17
193 	 16
194 	 21
195 	 21
196 	 12
197 	 22
198 	 21
199 	 10
200 	 10
201 	 12
202 	 7
203 	 18
204 	 11
205 	 11
206 	 15
207 	 11
208 	 8
209 	 9
210 	 14
211 	 7
212 	 10
213 	 5
214 	 8
215 	 9
216 	 5
217 	 8
218 	 12
219 	 6
220 	 9
221 	 7
222 	 11
223 	 4
224 	 10
225 	 7
226 	 7
227 	 13
228 	 11
229 	 15
230 	 8
231 	 4
232 	 7
233 	 8
234 	 4
235 	 5
236 	 13
237 	 5
238 	 5
239 	 9
240 	 11
241 	 7
242 	 12
243 	 13
244 	 7
245 	 17
246 	 8
247 	 7
248 	 8
249 	 15
250 	 12
251 	 15
252 	 12
253 	 17
254 	 13
255 	 7
256 	 20
257 	 22
258 	 10
259 	 16
260 	 20
261 	 27
262 	 27
263 	 29
264 	 38
265 	 44
266 	 51
267 	 43
268 	 57
269 	 57
270 	 70
271 	 77
272 	 99
273 	 92
274 	 92
275 	 106
276 	 122
277 	 94
278 	 95
279 	 132
280 	 124
281 	 114
282 	 111
283 	 94
284 	 95
285 	 76
286 	 72
287 	 60
288 	 51
289 	 59
290 	 38
291 	 35
292 	 35
293 	 21
294 	 28
295 	 19
296 	 15
297 	 12
298 	 12
299 	 8
300 	 2
301 	 1
302 	 3
303 	 4
304 	 1
305 	 1
306 	 5
307 	 0
308 	 2
309 	 4
310 	 4
311 	 2
312 	 0
313 	 3
314 	 2
315 	 2
316 	 3
317 	 0
318 	 3
319 	 1
320 	 2
321 	 1
322 	 1
323 	 0
324 	 0
325 	 2
326 	 2
327 	 2
