# Frequenz/kHz, U1pp/mV, UApp/mV
  0.1, 70, 220
  1  , 70, 230
  5  , 70, 160
 10  , 70, 100
 20  , 70,  60
 30  , 70,  45
 50  , 70,  35
100  , 70,  25
