# Frequenz/kHz, U1pp/mV, UApp/mV
  0.01, 70, 37
  0.1 , 70, 35
  1   , 70, 38
 10   , 70, 32
 20   , 70, 30
 30   , 70, 25
 40   , 70, 19
 50   , 70, 19
100   , 70, 16
