x-axis,1,2,3
second,Volt,Volt,Volt
-45.70000E-03,+66.33166E-03,-5.22613069E+00,+16.05528E-03
-45.65000E-03,+65.32663E-03,-4.91206034E+00,+15.45226E-03
-45.60000E-03,+62.31156E-03,-4.62311561E+00,+14.84925E-03
-45.55000E-03,+59.17085E-03,-4.51005029E+00,+15.02513E-03
-45.50000E-03,+56.28141E-03,-4.22110556E+00,+14.44724E-03
-45.45000E-03,+53.14070E-03,-4.02010053E+00,+14.64824E-03
-45.40000E-03,+52.13568E-03,-3.80653269E+00,+14.49749E-03
-45.35000E-03,+47.23618E-03,-3.50502515E+00,+15.50251E-03
-45.30000E-03,+46.23116E-03,-3.20351761E+00,+14.87437E-03
-45.25000E-03,+42.21105E-03,-2.81407037E+00,+14.07035E-03
-45.20000E-03,+40.20100E-03,-2.41206032E+00,+15.27638E-03
-45.15000E-03,+37.06030E-03,-2.21105529E+00,+13.86935E-03
-45.10000E-03,+34.04523E-03,-2.01005027E+00,+14.84925E-03
-45.05000E-03,+31.03015E-03,-1.69597991E+00,+14.04523E-03
-45.00000E-03,+28.14070E-03,-1.39447237E+00,+14.44724E-03
-44.95000E-03,+23.99497E-03,-1.09296483E+00,+14.07035E-03
-44.90000E-03,+21.98492E-03,-791.45729E-03,+13.26633E-03
-44.85000E-03,+18.09045E-03,-402.01005E-03,+14.64824E-03
-44.80000E-03,+16.08040E-03,+0.0E+00,+12.86432E-03
-44.75000E-03,+12.06030E-03,+100.50251E-03,+13.86935E-03
-44.70000E-03,+8.04020E-03,+402.01005E-03,+13.26633E-03
-44.65000E-03,+3.01508E-03,+690.95478E-03,+14.12060E-03
-44.60000E-03,+0.0E+00,+1.19346735E+00,+21.95980E-03
-44.55000E-03,-3.01508E-03,+1.40703519E+00,+15.05025E-03
-44.50000E-03,-6.03015E-03,+1.60804021E+00,+14.04523E-03
-44.45000E-03,-8.04020E-03,+2.01005027E+00,+13.86935E-03
-44.40000E-03,-10.05025E-03,+2.41206032E+00,+14.87437E-03
-44.35000E-03,-13.06533E-03,+2.61306535E+00,+14.84925E-03
-44.30000E-03,-16.08040E-03,+3.01507540E+00,+14.84925E-03
-44.25000E-03,-20.10050E-03,+3.30402013E+00,+15.07538E-03
-44.20000E-03,-24.12060E-03,+3.41708545E+00,+13.66834E-03
-44.15000E-03,-26.13065E-03,+3.81909551E+00,+14.07035E-03
-44.10000E-03,-30.02513E-03,+4.02010053E+00,+14.47236E-03
-44.05000E-03,-32.16080E-03,+4.42211059E+00,+12.88945E-03
-44.00000E-03,-36.18090E-03,+4.82412064E+00,+15.65327E-03
-43.95000E-03,-38.06533E-03,+5.12562818E+00,+14.04523E-03
-43.90000E-03,-42.21105E-03,+5.22613069E+00,+14.07035E-03
-43.85000E-03,-44.22111E-03,+5.82914577E+00,+16.08040E-03
-43.80000E-03,-48.11558E-03,+6.03015080E+00,+14.47236E-03
-43.75000E-03,-52.26131E-03,+6.23115583E+00,+13.69347E-03
-43.70000E-03,-52.26131E-03,+6.43216085E+00,+16.08040E-03
-43.65000E-03,-58.29146E-03,+6.83417091E+00,+13.26633E-03
-43.60000E-03,-58.29146E-03,+7.03517593E+00,+16.03015E-03
-43.55000E-03,-62.31156E-03,+7.33668347E+00,+13.46734E-03
-43.50000E-03,-66.20603E-03,+7.62562820E+00,+14.07035E-03
-43.45000E-03,-66.33166E-03,+7.83919604E+00,+15.27638E-03
-43.40000E-03,-70.22613E-03,+8.24120609E+00,+13.69347E-03
-43.35000E-03,-71.35678E-03,+8.32914579E+00,+14.27136E-03
-43.30000E-03,-74.37186E-03,+8.64321615E+00,+14.47236E-03
-43.25000E-03,-77.38693E-03,+8.84422117E+00,+14.24623E-03
-43.20000E-03,-78.39196E-03,+9.04522620E+00,+14.47236E-03
-43.15000E-03,-81.28141E-03,+9.14572871E+00,+14.47236E-03
-43.10000E-03,-82.41206E-03,+9.44723625E+00,+15.65327E-03
-43.05000E-03,-85.42713E-03,+9.64824128E+00,+14.87437E-03
-43.00000E-03,-88.31658E-03,+9.64824128E+00,+14.07035E-03
-42.95000E-03,-87.31156E-03,+9.94974882E+00,+15.05025E-03
-42.90000E-03,-90.45226E-03,+10.05025133E+00,+14.87437E-03
-42.85000E-03,-92.46231E-03,+10.35175887E+00,+15.45226E-03
-42.80000E-03,-92.46231E-03,+10.45226139E+00,+15.65327E-03
-42.75000E-03,-95.35176E-03,+10.45226139E+00,+14.29648E-03
-42.70000E-03,-94.47236E-03,+10.64070360E+00,+15.67839E-03
-42.65000E-03,-96.48241E-03,+10.75376893E+00,+15.67839E-03
-42.60000E-03,-98.49246E-03,+10.65326642E+00,+14.07035E-03
-42.55000E-03,-100.50251E-03,+10.94221114E+00,+15.67839E-03
-42.50000E-03,-98.49246E-03,+11.05527647E+00,+15.27638E-03
-42.45000E-03,-99.37186E-03,+11.15577898E+00,+15.50251E-03
-42.40000E-03,-98.49246E-03,+11.05527647E+00,+16.85930E-03
-42.35000E-03,-101.38191E-03,+11.25628150E+00,+16.68342E-03
-42.30000E-03,-100.50251E-03,+11.25628150E+00,+16.05528E-03
-42.25000E-03,-101.38191E-03,+11.45728652E+00,+15.27638E-03
-42.20000E-03,-102.51256E-03,+11.45728652E+00,+16.45729E-03
-42.15000E-03,-101.38191E-03,+11.34422119E+00,+15.87940E-03
-42.10000E-03,-100.50251E-03,+11.25628150E+00,+15.67839E-03
