Strom I/A,  Magnetfeld (I zunehmend) B/mT,  Magnetfeld (I abnehmend) B/mT
0,  5,    7
1,  80,   59
2,  150,  141
3,  218,  209
4,  286,  284
5,  340,  334
6,  423,  401
7,  489,  479
8,  558,  531
9,  634,  607
10, 690,  664
11, 750,  711
12, 818,  782
13, 879,  841
14, 914,  887
15, 968,  945
16, 1004, 991
17, 1021, 1027
