# Druck		# Zeit		# Zeit		# Zeit		# Zeit		# Zeit 		    
# P/mbar	# t/s		# t/s 		# t/s 		# t/s 		# t/s 
8e-04 		 5.61		 6.01 		 5.63 		 5.78 		 5.79
7e-04 		 6.24 		 6.37 		 6.31 		 6.36 		 6.24
6e-04 		 6.77 		 7.04 		 6.86 		 6.81 		 6.84
5e-04 		 7.36 		 7.79 		 7.47 		 7.54 		 7.52
4e-04 		 8.24 		 8.75 		 8.49 		 8.56 		 8.57
3e-04 		 9.65 		10.10 		 9.68 		 9.90 		 9.91
2e-04 		11.90		12.34 		12.25 		12.13 		12.05
1e-04 		17.11		17.52 		17.39 		17.16 		17.31
