# Druck		# Zeit		# Zeit 		    
# P/mbar	# t/s		# t/s  
8e-04 		 5.95  		 5.94
7e-04 		 6.26  		 6.54
6e-04 		 6.78  		 7.17
5e-04 		 7.41  		 7.72
4e-04 		 8.44  		 8.70
3e-04 		 9.86  		 9.99
2e-04 		11.90 		11.92
1e-04 		16.64 		16.83
9e-05		18.34 		18.61
8e-05		20.11 		20.16
7e-05		22.30 		21.84
6e-05		23.86 		24.37
5e-05		28.66 		28.16
4e-05		35.53 		33.85
3e-05		50.86 		46.79
