# Messung zur TEM_10 
# x_Position[mm]	# Photostrom[10µA]
-31					0.27	
-30					0.25
-29					0.19
-28					0.17
-27					0.15
-26					0.12
-25					0.08
-24					0.03
-23					0.02
-22					0.01
-21					0.01
-20					0.03
-19					0.04
-18					0.10
-17 				0.17
-16					0.20
-15					0.24
-14					0.25
-13					0.28
-12					0.33
-11					0.22
-10					0.17
-9					0.16
-8					0.15
-7					0.12
-6					0.09
-5					0.08
-4					0.06
-3 					0.05
-2 					0.04
-1 					0.02
0 					0.01
