x-axis,1,2,3
second,Volt,Volt,Volt
-465.5000E-06,+113.0653254E-03,-4.5854271716E+00,+65.7035169E-03
-465.0000E-06,+110.5527626E-03,-4.6231156141E+00,+64.3216074E-03
-464.5000E-06,+112.1859284E-03,-4.7864321982E+00,+58.5427129E-03
-464.0000E-06,+110.5527626E-03,-4.8869347116E+00,+58.2914567E-03
-463.5000E-06,+108.1658280E-03,-5.0251256675E+00,+57.9145722E-03
-463.0000E-06,+107.7889436E-03,-5.1507538091E+00,+53.5175874E-03
-462.5000E-06,+106.5326622E-03,-5.0251256675E+00,+51.8844216E-03
-462.0000E-06,+104.5226119E-03,-5.1507538091E+00,+48.8693462E-03
-461.5000E-06,+98.7437175E-03,-5.4271357208E+00,+44.7236176E-03
-461.0000E-06,+99.7487427E-03,-5.4271357208E+00,+44.2211051E-03
-460.5000E-06,+96.4824110E-03,-5.4271357208E+00,+40.4522609E-03
-460.0000E-06,+94.4723608E-03,-5.4271357208E+00,+37.4371855E-03
-459.5000E-06,+92.4623106E-03,-5.6281407475E+00,+34.4221102E-03
-459.0000E-06,+89.8241196E-03,-5.5527638625E+00,+30.1507534E-03
-458.5000E-06,+86.6834162E-03,-5.6281407475E+00,+29.5226127E-03
-458.0000E-06,+85.0502503E-03,-5.8291457742E+00,+26.1306530E-03
-457.5000E-06,+80.6532655E-03,-5.7914573317E+00,+22.1105525E-03
-457.0000E-06,+78.3919590E-03,-5.8291457742E+00,+20.1005023E-03
-456.5000E-06,+74.6231148E-03,-5.6532663759E+00,+14.3216079E-03
-456.0000E-06,+72.3618083E-03,-5.8291457742E+00,+14.0703516E-03
-455.5000E-06,+70.6030143E-03,-5.6532663759E+00,+10.0502511E-03
-455.0000E-06,+66.8341701E-03,-5.6281407475E+00,+6.5326632E-03
-454.5000E-06,+64.3216074E-03,-5.6281407475E+00,+2.0100502E-03
-454.0000E-06,+59.5477381E-03,-5.6909548184E+00,+0.0E+00
-453.5000E-06,+55.9045220E-03,-5.6281407475E+00,-2.2613065E-03
-453.0000E-06,+52.2613060E-03,-5.4271357208E+00,-6.0301507E-03
-452.5000E-06,+50.2512557E-03,-5.6281407475E+00,-8.0402009E-03
-452.0000E-06,+46.2311553E-03,-5.4271357208E+00,-12.6884421E-03
-451.5000E-06,+40.4522609E-03,-5.4271357208E+00,-14.3216079E-03
-451.0000E-06,+38.1909544E-03,-5.2889447650E+00,-17.3366832E-03
-450.5000E-06,+33.7939695E-03,-5.2261306942E+00,-20.1005023E-03
-450.0000E-06,+30.1507534E-03,-5.2261306942E+00,-24.1206028E-03
-449.5000E-06,+24.3718590E-03,-5.0502512958E+00,-27.5125625E-03
-449.0000E-06,+22.7386932E-03,-5.0251256675E+00,-29.3969846E-03
-448.5000E-06,+19.7236179E-03,-4.8492462691E+00,-32.1608037E-03
-448.0000E-06,+14.0703516E-03,-4.8241206408E+00,-35.4271353E-03
-447.5000E-06,+10.0502511E-03,-4.7864321982E+00,-38.1909544E-03
-447.0000E-06,+5.4020100E-03,-4.6231156141E+00,-38.1909544E-03
-446.5000E-06,+1.6331658E-03,-4.5854271716E+00,-42.2110548E-03
-446.0000E-06,-628.1407E-06,-4.2211055607E+00,-44.2211051E-03
-445.5000E-06,-6.0301507E-03,-4.1834171182E+00,-47.8643211E-03
-445.0000E-06,-10.6783918E-03,-3.9447236490E+00,-50.2512557E-03
-444.5000E-06,-14.3216079E-03,-3.8442211356E+00,-50.7537683E-03
-444.0000E-06,-18.0904521E-03,-3.6809045514E+00,-55.5276376E-03
-443.5000E-06,-20.3517586E-03,-3.2412060555E+00,-56.2814064E-03
-443.0000E-06,-25.3768842E-03,-3.2160804272E+00,-58.2914567E-03
